parent_id,child_id
1228,242
1228,474
1228,475
1228,477
1228,676
1228,695
1228,749
1210,117
1210,222
1210,223
1210,224
1210,778
1210,779
1211,289
1211,290
1211,294
1211,295
1211,301
1211,303
1211,305
1211,306
1211,307
1211,308
1211,309
1211,322
1211,603
1211,645
1211,804
1211,836
1212,425
1212,551
1212,552
1212,639
1212,653
1212,939
1212,842
1212,1220
1212,1230
1006,358
1006,360
1006,478
1006,487
1006,489
1006,547
1006,561
1006,562
1006,563
1006,581
1006,586
1006,605
1006,628
1006,654
1006,656
1006,694
1006,807
1006,1041
1006,1043
1006,1044
1006,1045
1006,1046
1006,1048
1006,1049
1006,1050
1006,1063
1006,1065
1006,1066
1006,1067
1006,1070
1006,1071
1006,1072
1006,1073
1006,1079
1006,1082
1006,1084
1006,1085
1006,1087
1006,1089
1006,1092
1006,1094
1006,1097
1006,1098
1006,1099
1006,1101
1006,1102
1006,1103
1006,1104
1006,1106
1006,1107
1006,1108
1006,1109
1006,1113
1006,1114
1006,1115
1006,1116
1006,1117
1006,1126
1006,1127
1006,1235
438,115
438,179
438,408
438,437
438,439
438,440
438,444
438,480
438,483
438,484
438,551
438,698
438,733
438,783
438,835
438,837
438,841
438,1025
438,1037
840,283
840,639
840,640
840,708
840,770
840,826
840,837
840,841
417,322
417,346
417,385
417,419
417,420
417,425
417,515
417,918
417,924
417,940
417,941
417,1327
1226,1043
1226,1047
1226,1055
1226,1056
1226,1060
1226,1064
1226,1074
1226,1075
1226,1080
1226,1086
1226,1095
1226,1119
1226,1121
1226,1122
1226,1123
1226,1124
1226,1125
1226,1333
557,364
557,366
557,367
557,368
557,386
557,421
557,663
557,820
557,821
557,1058
557,1322
255,256
255,257
255,260
255,261
255,262
255,263
255,324
255,521
255,523
255,549
255,620
255,640
255,798
255,916
255,1392
310,261
310,324
310,325
310,328
310,331
310,334
310,335
310,338
310,347
310,916
310,1204
310,1240
320,322
320,323
320,324
320,798
1214,322
1214,346
1214,347
1214,348
1214,349
1214,351
1214,353
1214,354
1214,494
1214,565
1214,649
1214,829
1214,924
19,130
19,166
19,167
19,168
19,178
19,182
19,186
19,229
19,233
19,237
19,241
19,409
19,472
19,601
19,611
19,624
19,625
19,776
19,1024
137,76
137,78
137,79
137,88
137,89
137,90
137,91
137,93
137,94
137,117
137,140
137,170
137,463
137,464
137,641
137,694
137,791
137,838
137,917
137,1236
1225,1053
1225,1068
1225,1110
1225,1111
1225,1112
1225,1118
1219,22
1219,41
1219,59
1219,66
1219,378
1219,379
1219,426
1219,427
1219,428
1227,1054
1227,1057
1227,1062
1227,1083
1227,1090
1227,1100
1227,1105
389,209
389,248
389,252
389,253
389,390
389,391
389,392
389,393
389,394
389,395
389,396
389,397
389,544
389,584
389,617
389,756
569,480
569,570
569,571
569,783
429,430
429,431
429,434
199,201
199,204
199,205
199,208
199,209
199,212
199,213
199,214
199,215
199,312
199,319
199,359
199,497
199,524
199,538
199,921
199,1230
452,212
452,454
452,455
452,459
452,1051
452,1052
452,1188
1215,112
1215,179
1215,183
1215,184
1215,606
1215,641
1215,1173
1215,1284
1215,1285
1215,1286
1215,1287
1215,1288
1215,1289
1216,645
1218,120
1218,124
1218,125
1218,131
1218,786
1218,787
1218,788
1218,805
1218,1284
189,128
189,190
189,191
189,193
189,369
189,681
189,839
189,1335
189,1339
189,1389
275,276
275,277
275,278
275,279
275,280
275,281
275,618
275,766
275,767
465,466
465,468
465,469
465,476
465,587
465,763
465,822
465,823
465,824
465,825
265,243
265,250
265,266
265,267
265,268
265,270
265,272
265,273
265,274
265,280
265,501
265,580
265,648
1213,331
1213,334
1213,335
1213,338
1213,341
1213,342
1213,343
1213,344
1213,1241
411,412
411,413
411,414
411,609
411,764
411,765
411,832
411,833
399,73
399,403
399,410
399,470
399,502
399,619
399,641
399,694
399,763
399,770
399,771
399,772
399,826
399,908
399,909
399,910
399,911
399,914
399,915
399,920
399,1188
399,1341
387,364
371,15
371,372
371,374
371,375
371,1265
133,134
133,135
133,480
136,681
136,843
136,1287
355,356
355,357
355,447
355,448
355,449
355,549
355,1007
355,1021
1217,488
1217,613
1217,841
699,19
699,133
699,136
699,137
699,189
699,199
699,255
699,265
699,275
699,310
699,320
699,355
699,371
699,387
699,389
699,399
699,411
699,417
699,429
699,438
699,452
699,465
699,557
699,569
699,840
699,1006
699,1210
699,1211
699,1212
699,1213
699,1214
699,1215
699,1216
699,1217
699,1218
699,1219
699,1225
699,1226
699,1227
699,1228